iter	Passed	Remaining
0	142	142606
1	144	72089
2	147	48984
3	148	36945
4	149	29773
5	150	24948
6	151	21512
7	152	18918
8	153	16901
9	154	15300
10	160	14432
11	161	13297
12	162	12332
13	163	11507
14	164	10803
15	165	10179
16	166	9629
17	167	9138
18	168	8697
19	174	8529
20	175	8202
21	177	7886
22	178	7587
23	180	7330
24	181	7078
25	182	6834
26	183	6604
27	188	6544
28	189	6353
29	190	6173
30	192	6003
31	193	5854
32	195	5714
33	195	5568
34	197	5431
35	201	5404
36	204	5318
37	205	5202
38	206	5087
39	207	4988
40	209	4903
41	210	4805
42	215	4793
43	218	4748
44	219	4660
45	220	4579
46	221	4496
47	223	4432
48	224	4359
49	225	4285
50	230	4283
51	233	4251
52	234	4187
53	235	4129
54	237	4079
55	240	4048
56	241	3989
57	247	4023
58	248	3971
59	250	3919
60	251	3874
61	253	3828
62	254	3781
63	255	3731
64	256	3683
65	259	3676
66	260	3631
67	262	3597
68	263	3555
69	265	3520
70	266	3483
71	267	3443
72	273	3472
73	274	3438
74	275	3403
75	277	3369
76	278	3336
77	279	3301
78	280	3266
79	281	3235
80	285	3237
81	288	3226
82	288	3191
83	290	3163
84	291	3135
85	292	3107
86	294	3092
87	295	3066
88	304	3115
89	305	3092
90	306	3066
91	308	3041
92	310	3031
93	318	3068
94	320	3057
95	322	3033
96	323	3007
97	325	2991
98	326	2967
99	327	2943
100	329	2933
101	330	2913
102	332	2894
103	333	2872
104	335	2859
105	336	2839
106	337	2818
107	338	2796
108	343	2807
109	344	2789
110	346	2773
111	347	2753
112	348	2738
113	349	2719
114	350	2699
115	355	2709
116	357	2695
117	358	2679
118	359	2663
119	360	2645
120	361	2627
121	362	2608
122	363	2591
123	364	2573
124	368	2580
125	371	2574
126	372	2557
127	373	2542
128	374	2528
129	376	2520
130	377	2506
131	378	2491
132	379	2475
133	386	2499
134	388	2486
135	389	2473
136	390	2459
137	391	2447
138	393	2435
139	393	2420
140	398	2427
141	401	2423
142	402	2410
143	403	2397
144	404	2387
145	405	2374
146	406	2361
147	407	2347
148	408	2335
149	412	2338
150	414	2333
151	416	2322
152	417	2310
153	418	2298
154	419	2285
155	421	2278
156	422	2266
157	422	2253
158	423	2241
159	430	2260
160	431	2248
161	432	2237
162	434	2231
163	435	2220
164	436	2210
165	437	2199
166	442	2208
167	445	2208
168	447	2200
169	451	2202
170	452	2193
171	457	2202
172	459	2195
173	460	2186
174	462	2178
175	463	2169
176	464	2160
177	471	2179
178	473	2169
179	474	2161
180	475	2152
181	476	2143
182	478	2134
183	479	2125
184	480	2117
185	487	2134
186	488	2125
187	489	2116
188	490	2106
189	492	2098
190	494	2093
191	495	2085
192	496	2077
193	498	2069
194	499	2060
195	501	2055
196	507	2068
197	509	2062
198	510	2055
199	513	2053
200	514	2047
201	516	2039
202	524	2059
203	525	2052
204	527	2044
205	530	2043
206	532	2038
207	538	2050
208	539	2042
209	540	2034
210	541	2026
211	542	2018
212	545	2014
213	553	2032
214	554	2025
215	556	2019
216	557	2011
217	558	2004
218	560	2000
219	569	2019
220	571	2012
221	572	2005
222	573	1998
223	574	1990
224	575	1983
225	582	1993
226	583	1987
227	586	1984
228	587	1978
229	589	1972
230	595	1981
231	598	1982
232	600	1976
233	601	1970
234	603	1965
235	604	1957
236	610	1966
237	614	1968
238	616	1962
239	617	1955
240	619	1950
241	620	1944
242	630	1963
243	631	1956
244	632	1950
245	635	1946
246	636	1940
247	642	1947
248	645	1947
249	647	1942
250	648	1935
251	649	1928
252	650	1922
253	656	1928
254	658	1924
255	660	1918
256	661	1913
257	662	1906
258	663	1899
259	664	1892
260	670	1897
261	672	1893
262	673	1887
263	675	1882
264	676	1875
265	677	1869
266	678	1862
267	679	1856
268	684	1860
269	687	1858
270	689	1855
271	691	1850
272	692	1843
273	693	1837
274	699	1843
275	702	1843
276	704	1838
277	705	1832
278	706	1826
279	707	1820
280	712	1823
281	716	1824
282	717	1818
283	719	1813
284	720	1806
285	721	1800
286	722	1794
287	727	1798
288	730	1797
289	732	1792
290	733	1787
291	735	1782
292	736	1776
293	737	1770
294	742	1774
295	745	1773
296	746	1767
297	748	1763
298	750	1759
299	753	1758
300	756	1757
301	758	1753
302	760	1748
303	761	1743
304	770	1755
305	771	1750
306	773	1745
307	774	1740
308	776	1736
309	778	1731
310	781	1731
311	782	1726
312	784	1720
313	785	1715
314	786	1710
315	787	1704
316	788	1699
317	794	1704
318	796	1700
319	798	1696
320	800	1692
321	811	1708
322	816	1711
323	830	1733
324	832	1728
325	833	1723
326	846	1741
327	848	1738
328	858	1750
329	859	1745
330	861	1741
331	865	1740
332	871	1745
333	873	1741
334	878	1744
335	889	1756
336	892	1755
337	893	1750
338	905	1766
339	907	1761
340	908	1756
341	914	1759
342	920	1762
343	921	1757
344	923	1752
345	924	1748
346	952	1792
347	960	1799
348	964	1799
349	969	1800
350	972	1798
351	990	1822
352	995	1825
353	1001	1827
354	1007	1831
355	1009	1827
356	1020	1838
357	1023	1834
358	1024	1830
359	1035	1841
360	1039	1840
361	1041	1834
362	1052	1846
363	1054	1842
364	1055	1837
365	1057	1831
366	1058	1825
367	1064	1828
368	1065	1822
369	1066	1816
370	1068	1810
371	1069	1805
372	1071	1801
373	1072	1795
374	1076	1793
375	1078	1790
376	1084	1791
377	1086	1788
378	1093	1792
379	1095	1787
380	1097	1782
381	1098	1777
382	1099	1771
383	1100	1766
384	1102	1761
385	1106	1760
386	1108	1755
387	1110	1750
388	1112	1746
389	1113	1741
390	1114	1736
391	1116	1731
392	1122	1734
393	1125	1730
394	1126	1725
395	1128	1721
396	1130	1716
397	1132	1712
398	1139	1716
399	1141	1712
400	1142	1707
401	1144	1702
402	1146	1697
403	1147	1692
404	1156	1699
405	1160	1697
406	1161	1692
407	1163	1687
408	1174	1696
409	1176	1692
410	1178	1689
411	1183	1689
412	1186	1687
413	1188	1682
414	1190	1678
415	1192	1673
416	1193	1669
417	1196	1666
418	1202	1667
419	1212	1674
420	1214	1670
421	1220	1672
422	1230	1678
423	1234	1676
424	1235	1672
425	1240	1672
426	1243	1669
427	1248	1668
428	1250	1664
429	1256	1665
430	1259	1663
431	1263	1661
432	1265	1657
433	1267	1653
434	1272	1652
435	1273	1647
436	1275	1643
437	1278	1640
438	1285	1642
439	1288	1640
440	1291	1637
441	1293	1632
442	1294	1627
443	1303	1632
444	1305	1628
445	1307	1624
446	1309	1619
447	1318	1624
448	1320	1619
449	1322	1616
450	1328	1616
451	1331	1614
452	1334	1610
453	1335	1606
454	1337	1601
455	1342	1602
456	1344	1597
457	1347	1595
458	1357	1600
459	1359	1596
460	1361	1591
461	1362	1586
462	1363	1581
463	1364	1576
464	1368	1574
465	1370	1569
466	1371	1564
467	1372	1560
468	1373	1555
469	1374	1550
470	1380	1550
471	1381	1545
472	1383	1541
473	1384	1536
474	1386	1532
475	1387	1527
476	1388	1522
477	1390	1518
478	1394	1516
479	1395	1512
480	1396	1507
481	1398	1502
482	1399	1497
483	1400	1493
484	1401	1488
485	1403	1484
486	1404	1479
487	1410	1479
488	1411	1475
489	1414	1472
490	1416	1468
491	1419	1465
492	1423	1463
493	1428	1462
494	1429	1458
495	1431	1454
496	1432	1449
497	1433	1445
498	1434	1440
499	1439	1439
500	1441	1435
501	1442	1430
502	1443	1426
503	1444	1421
504	1445	1416
505	1446	1412
506	1447	1407
507	1448	1403
508	1454	1402
509	1455	1398
510	1457	1394
511	1458	1389
512	1460	1386
513	1463	1384
514	1468	1383
515	1470	1379
516	1472	1375
517	1473	1371
518	1476	1367
519	1477	1363
520	1479	1359
521	1482	1357
522	1484	1353
523	1485	1349
524	1486	1344
525	1487	1340
526	1488	1336
527	1489	1331
528	1490	1327
529	1492	1323
530	1493	1318
531	1494	1314
532	1496	1311
533	1498	1307
534	1499	1302
535	1500	1298
536	1501	1294
537	1502	1290
538	1503	1285
539	1504	1281
540	1505	1277
541	1506	1273
542	1507	1268
543	1510	1266
544	1512	1262
545	1513	1258
546	1514	1254
547	1515	1250
548	1516	1246
549	1518	1242
550	1519	1238
551	1520	1234
552	1522	1230
553	1525	1228
554	1527	1224
555	1529	1221
556	1530	1217
557	1531	1213
558	1532	1209
559	1533	1205
560	1534	1200
561	1535	1197
562	1536	1192
563	1540	1190
564	1541	1187
565	1543	1183
566	1544	1179
567	1546	1175
568	1547	1172
569	1548	1168
570	1549	1164
571	1550	1160
572	1552	1156
573	1553	1153
574	1554	1149
575	1556	1145
576	1557	1141
577	1558	1138
578	1560	1134
579	1561	1130
580	1562	1127
581	1566	1125
582	1568	1121
583	1569	1117
584	1571	1114
585	1572	1111
586	1573	1107
587	1574	1103
588	1576	1099
589	1577	1096
590	1580	1093
591	1582	1090
592	1583	1086
593	1584	1082
594	1585	1079
595	1586	1075
596	1587	1071
597	1588	1068
598	1589	1064
599	1594	1062
600	1595	1059
601	1596	1055
602	1597	1051
603	1598	1048
604	1599	1044
605	1600	1040
606	1601	1037
607	1602	1033
608	1603	1029
609	1605	1026
610	1606	1022
611	1609	1020
612	1610	1016
613	1611	1013
614	1612	1009
615	1613	1006
616	1615	1002
617	1616	998
618	1617	995
619	1618	991
620	1619	988
621	1620	984
622	1623	982
623	1624	979
624	1626	975
625	1627	972
626	1628	968
627	1630	965
628	1631	962
629	1632	958
630	1633	955
631	1634	951
632	1635	948
633	1639	946
634	1640	942
635	1641	939
636	1642	936
637	1644	932
638	1645	929
639	1646	926
640	1647	922
641	1648	919
642	1649	915
643	1650	912
644	1651	909
645	1653	905
646	1654	902
647	1655	899
648	1656	895
649	1657	892
650	1659	889
651	1660	886
652	1661	882
653	1661	879
654	1663	875
655	1666	873
656	1667	870
657	1668	867
658	1669	863
659	1670	860
660	1671	857
661	1672	853
662	1673	850
663	1674	847
664	1675	844
665	1676	840
666	1680	838
667	1683	836
668	1684	833
669	1685	830
670	1686	827
671	1688	823
672	1689	820
673	1690	817
674	1691	814
675	1692	811
676	1695	809
677	1696	805
678	1697	802
679	1700	800
680	1701	796
681	1703	794
682	1704	791
683	1706	788
684	1707	785
685	1711	783
686	1713	780
687	1714	777
688	1716	774
689	1717	771
690	1718	768
691	1719	765
692	1720	762
693	1721	758
694	1722	755
695	1726	754
696	1728	751
697	1729	748
698	1731	745
699	1732	742
700	1735	740
701	1736	736
702	1737	733
703	1742	732
704	1744	729
705	1746	727
706	1749	725
707	1751	722
708	1759	722
709	1761	719
710	1762	716
711	1763	713
712	1765	710
713	1766	707
714	1771	706
715	1774	703
716	1775	700
717	1776	697
718	1777	694
719	1778	691
720	1779	688
721	1781	686
722	1782	682
723	1786	681
724	1790	678
725	1792	676
726	1794	673
727	1797	671
728	1803	670
729	1805	667
730	1806	664
731	1808	662
732	1809	659
733	1811	656
734	1812	653
735	1819	652
736	1820	649
737	1821	646
738	1824	644
739	1825	641
740	1827	638
741	1830	636
742	1833	634
743	1835	631
744	1837	628
745	1839	626
746	1840	623
747	1842	620
748	1846	618
749	1851	617
750	1852	614
751	1853	611
752	1855	608
753	1857	606
754	1863	604
755	1864	601
756	1866	599
757	1868	596
758	1869	593
759	1872	591
760	1879	590
761	1881	587
762	1882	584
763	1884	582
764	1886	579
765	1887	576
766	1900	577
767	1902	574
768	1904	571
769	1909	570
770	1911	567
771	1912	564
772	1913	561
773	1914	559
774	1916	556
775	1917	553
776	1923	551
777	1924	549
778	1925	546
779	1927	543
780	1929	540
781	1932	538
782	1938	537
783	1940	534
784	1942	531
785	1943	529
786	1945	526
787	1946	523
788	1951	521
789	1955	519
790	1957	517
791	1959	514
792	1960	511
793	1961	508
794	1966	507
795	1968	504
796	1970	502
797	1972	499
798	1974	496
799	1981	495
800	1983	492
801	1984	490
802	1986	487
803	1987	484
804	1988	481
805	1997	480
806	1998	478
807	2000	475
808	2002	472
809	2004	470
810	2011	468
811	2014	466
812	2016	463
813	2018	461
814	2020	458
815	2025	456
816	2027	454
817	2028	451
818	2029	448
819	2030	445
820	2031	443
821	2039	441
822	2040	438
823	2042	436
824	2044	433
825	2045	430
826	2046	428
827	2055	426
828	2057	424
829	2058	421
830	2059	418
831	2060	416
832	2061	413
833	2068	411
834	2069	409
835	2071	406
836	2072	403
837	2073	400
838	2075	398
839	2076	395
840	2081	393
841	2083	391
842	2084	388
843	2085	385
844	2087	382
845	2088	380
846	2089	377
847	2090	374
848	2091	372
849	2096	369
850	2098	367
851	2099	364
852	2101	362
853	2102	359
854	2103	356
855	2112	355
856	2113	352
857	2114	349
858	2115	347
859	2116	344
860	2117	341
861	2118	339
862	2119	336
863	2123	334
864	2126	331
865	2127	329
866	2128	326
867	2129	323
868	2130	321
869	2131	318
870	2132	315
871	2134	313
872	2135	310
873	2138	308
874	2139	305
875	2140	303
876	2142	300
877	2143	297
878	2144	295
879	2145	292
880	2146	289
881	2147	287
882	2152	285
883	2153	282
884	2154	279
885	2155	277
886	2156	274
887	2157	272
888	2159	269
889	2160	266
890	2161	264
891	2162	261
892	2164	259
893	2166	256
894	2167	254
895	2168	251
896	2170	249
897	2171	246
898	2172	244
899	2173	241
900	2174	238
901	2176	236
902	2180	234
903	2181	231
904	2182	229
905	2183	226
906	2185	224
907	2186	221
908	2187	218
909	2188	216
910	2190	213
911	2192	211
912	2193	209
913	2194	206
914	2196	204
915	2198	201
916	2199	199
917	2200	196
918	2204	194
919	2210	192
920	2211	189
921	2213	187
922	2214	184
923	2215	182
924	2216	179
925	2217	177
926	2218	174
927	2219	172
928	2223	169
929	2225	167
930	2229	165
931	2230	162
932	2231	160
933	2233	157
934	2234	155
935	2236	152
936	2239	150
937	2241	148
938	2242	145
939	2243	143
940	2245	140
941	2246	138
942	2248	135
943	2249	133
944	2253	131
945	2256	128
946	2257	126
947	2259	123
948	2260	121
949	2262	119
950	2267	116
951	2268	114
952	2271	112
953	2272	109
954	2273	107
955	2274	104
956	2275	102
957	2281	100
958	2284	97
959	2285	95
960	2286	92
961	2288	90
962	2289	87
963	2290	85
964	2292	83
965	2299	80
966	2300	78
967	2301	76
968	2303	73
969	2304	71
970	2305	68
971	2306	66
972	2313	64
973	2315	61
974	2318	59
975	2319	57
976	2320	54
977	2321	52
978	2328	49
979	2329	47
980	2331	45
981	2333	42
982	2334	40
983	2336	37
984	2341	35
985	2346	33
986	2348	30
987	2349	28
988	2350	26
989	2351	23
990	2352	21
991	2358	19
992	2360	16
993	2361	14
994	2363	11
995	2364	9
996	2365	7
997	2366	4
998	2367	2
999	2372	0
